id,pred,confidence,justification,type,index,text,label,len_text,machiavellian,narcissitic expressions,lack of professional decorum,lack of consideration,favoritism (discrimination),comments refusing responsibility,threatening statements
cd0fe19dd024,DLB,95.67,This sentence contains Lack of professional decorum,['Lack of professional decorum'],26,"""\""Love,Francis Dear Francis, Who in the hell names their kid Francis nowadays\""""",DLB,17,0.0,0.0,1.0,0.0,0.0,0.0,0.0
e9793a1f,None,95.67,This sentence does not contain any sign of destructive leadership.,None,1655,"""\""DDDDDDDDDDDDDDDDDDDDDDDDD DDDDDDDDDDDDDDDDDDDDDDDDD DDDDDDDDDDDDD SCIENTECH is pleased to provide you with your free daily IssueAlert.\""""",None,16,,,,,,,
722ff0c8,None,95.67,This sentence does not contain any sign of destructive leadership.,None,850,"""\""We will be away from Enron House at a central London location to be confirmed between .pm\""""",None,20,,,,,,,
bcf45f19,None,93.12,This sentence does not contain any sign of destructive leadership.,None,1601,"""\""Your sincerely Nadine NDiayeRobinson Internet site and Operations Manager OECD Forum Sustainable Development and the New Economy httpwww.oecd.orgForum Nadine.NdiayeRobinsonOECD.org . ... . ...\""""",None,32,,,,,,,
a9b41ce1,None,93.12,This sentence does not contain any sign of destructive leadership.,None,256,"""\""I think that the board meetings take up an incredible amount of Compaq executive time and energy.\""""",None,19,,,,,,,
abc28422,None,95.12,This sentence does not contain any sign of destructive leadership.,None,1464,"""\""Please accept my apology for sending this email.\""""",None,10,,,,,,,
40a67d76,None,95.67,This sentence does not contain any sign of destructive leadership.,None,1235,"""\""XMailer Internet Mail Service ...\""""",None,6,,,,,,,
e4714135,None,92.34,This sentence does not contain any sign of destructive leadership.,None,71,"""\""He said We need to make Enron an ebusiness and I need a guy that can run this as a business.\""""",None,23,,,,,,,
6e13edd4,DLB,95.67,This sentence contains Lack of professional decorum,['Lack of professional decorum'],1065,"""\""Kischa Gipson AM To Bill WhiteCorpEnronENRON Brenda ForeseeEnron CommunicationsEnron Communications Chris GlaasLONECTECT Chris MahoneyLONECTECT Dayne RelihanEnron CommunicationsEnron Communications Diane HetzelEnron CommunicationsEnron Communications Don SchroederHOUECTECT Jeff SkillingCorpEnronENRON Jim GearhartCorpEnronENRON Jim GougharyHOUECTECT Jim WilliamsEnron CommunicationsEnron Communications John ChismarSINECTECT John NolandETSEnronENRON John SieckmanCorpEnronENRON John ThomasEnronGateway Kenny BurroughsEnron CommunicationsEnron Communications Matt PetersanEnron CommunicationsEnron Communications Niamh ClarkeLONECTECT Nicole GilsonEnron CommunicationsEnron Communications Penny CraneEnron CommunicationsEnron Communications Philippe A BibiHOUECTECT Randy MatsonCorpEnronENRON Ross KollerLONECTECT Sheryl LaraEnron CommunicationsEnron Communications cc Subject Webley Telephone Assistant Since I have been processing the Webley invoices over the last months Ive have noticed that many of you dont have any or only have very little usage on your accounts.\""""",None,109,,,,,,,
549cb462409c,DLB,95.67,This sentence contains Lack of professional decorum,['Lack of professional decorum'],32,"""\""Like shit through a goose\""""",DLB,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4965fb38,None,97.23,This sentence does not contain any sign of destructive leadership.,None,783,"""\""Thank you for the offer.\""""",None,7,,,,,,,
2696e07e,None,93.12,This sentence does not contain any sign of destructive leadership.,None,2074,"""\""I know you are extremely busy\""""",None,8,,,,,,,
20d26628dd40,None,93.12,This sentence does not contain any sign of destructive leadership.,None,95,"""\""Political leaders decided they must do something to stop the defection of Houstons pro sports teams.\""""",DLB,18,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15af0fd1,None,93.12,This sentence does not contain any sign of destructive leadership.,None,1867,"""\""The record supports such a move.\""""",None,8,,,,,,,
431fcac5,None,93.12,This sentence does not contain any sign of destructive leadership.,None,1696,"""\""However in India you never know and considering some of the existing press of recent we should get prepared and make sure we are coordinated.\""""",None,27,,,,,,,
2cd51739,None,93.12,This sentence does not contain any sign of destructive leadership.,None,960,"""\""From Jeff Skilling ENRON Sent by Sherri SeraENRON To Matthew ScrimshawLONECTECT cc Subject Re UK CEOs Matthew Jeffs soundbite is the transformation of gas and electric markets.\""""",None,29,,,,,,,
a44650b6c7af,DLB,95.67,This sentence contains Lack of professional decorum,['Lack of professional decorum'],193,"""\""An UNCLE TED makes it difficult to relax while on the crapper, as you should always wait to drop your load when the bathroom is empty\""""",DLB,29,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9b6467af,None,95.67,This sentence does not contain any sign of destructive leadership.,None,346,"""\""Oh Terrie Ken wont be in town.\""""",None,9,,,,,,,
9f5e749d9467,DLB,95.67,This sentence contains Lack of professional decorum,['Lack of professional decorum'],136,"""\""And additionally, do you really WANT puke on your dick\""""",DLB,13,0.0,0.0,1.0,0.0,0.0,0.0,0.0
c340c8a9,None,95.67,This sentence does not contain any sign of destructive leadership.,None,404,"""\""Thanks for your understanding cooperation and support.\""""",None,9,,,,,,,
